Latitude (decimal degrees):,48200,,,,,
Longitude (decimal degrees):,16369,,,,,
Radiation database:,PVGIS-SARAH,,,,,
,,,,,,
Results for:,July,,,,,
Slope of plane (deg.):,35,,,,,
Azimuth (orientation) of plane (deg.):,0,,,,,
time(UTC),,G(i),,Gb(i),,Gd(i)
00:00,,0.0,,0.0,,0.0
01:00,,0.0,,0.0,,0.0
02:00,,0.0,,0.0,,0.0
03:00,,0.0,,0.0,,0.0
04:00,,27.88,,0.0,,27.3
05:00,,100.95,,26.99,,71.26
06:00,,250.0,,122.78,,121.94
07:00,,420.29,,247.48,,164.95
08:00,,576.61,,364.41,,202.11
09:00,,677.88,,430.65,,235.76
10:00,,704.99,,436.86,,256.34
11:00,,704.83,,431.61,,261.46
12:00,,669.7,,413.04,,245.4
13:00,,577.28,,332.14,,235.18
14:00,,476.91,,272.71,,195.66
15:00,,344.87,,184.3,,153.9
16:00,,201.22,,87.09,,109.6
17:00,,72.18,,8.78,,61.06
18:00,,21.1,,0.0,,20.67
19:00,,0.0,,0.0,,0.0
20:00,,0.0,,0.0,,0.0
21:00,,0.0,,0.0,,0.0
22:00,,0.0,,0.0,,0.0
23:00,,0.0,,0.0,,0.0
